행정구역,연도,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
서울특별시,2016,9930616 ,4189839 ,2.37,4876789 ,5053827 ,0.96
부산광역시,2016,3498529 ,1451270 ,2.41,1725607 ,1772922 ,0.97
대구광역시,2016,2484557 ,994220 ,2.5,1234169 ,1250388 ,0.99
인천광역시,2016,2943069 ,1171399 ,2.51,1477671 ,1465398 ,1.01
광주광역시,2016,1469214 ,586464 ,2.51,728137 ,741077 ,0.98
대전광역시,2016,1514370 ,606137 ,2.5,757289 ,757081 ,1
울산광역시,2016,1172304 ,455352 ,2.57,603797 ,568507 ,1.06
세종특별자치시,2016,243048 ,94343 ,2.58,121505 ,121543 ,1
경기도,2016,12716780 ,5003406 ,2.54,6395453 ,6321327 ,1.01
강원도,2016,1550806 ,692254 ,2.24,781146 ,769660 ,1.01
충청북도,2016,1591625 ,680960 ,2.34,803240 ,788385 ,1.02
충청남도,2016,2096727 ,902294 ,2.32,1064765 ,1031962 ,1.03
전라북도,2016,1864791 ,790084 ,2.36,927505 ,937286 ,0.99
전라남도,2016,1903914 ,842688 ,2.26,951889 ,952025 ,1
경상북도,2016,2700398 ,1180643 ,2.29,1356868 ,1343530 ,1.01
경상남도,2016,3373871 ,1385684 ,2.43,1699219 ,1674652 ,1.01
제주특별자치도,2016,641597 ,266972 ,2.4,322545 ,319052 ,1.01
서울특별시,2017,9857426 ,4220082 ,2.34,4830206 ,5027220 ,0.96
부산광역시,2017,3470653 ,1467555 ,2.36,1709508 ,1761145 ,0.97
대구광역시,2017,2475231 ,1006753 ,2.46,1227814 ,1247417 ,0.98
인천광역시,2017,2948542 ,1188917 ,2.48,1479597 ,1468945 ,1.01
광주광역시,2017,1463770 ,592818 ,2.47,725295 ,738475 ,0.98
대전광역시,2017,1502227 ,614639 ,2.44,750969 ,751258 ,1
울산광역시,2017,1165132 ,458547 ,2.54,599480 ,565652 ,1.06
세종특별자치시,2017,280100 ,109490 ,2.56,139734 ,140366 ,1
경기도,2017,12873895 ,5131379 ,2.51,6475323 ,6398572 ,1.01
강원도,2017,1550142 ,700265 ,2.21,780635 ,769507 ,1.01
충청북도,2017,1594432 ,692140 ,2.3,805091 ,789341 ,1.02
충청남도,2017,2116770 ,923499 ,2.29,1076270 ,1040500 ,1.03
전라북도,2017,1854607 ,797916 ,2.32,922307 ,932300 ,0.99
전라남도,2017,1896424 ,851376 ,2.23,948290 ,948134 ,1
경상북도,2017,2691706 ,1193261 ,2.26,1353164 ,1338542 ,1.01
경상남도,2017,3380404 ,1406011 ,2.4,1701413 ,1678991 ,1.01
제주특별자치도,2017,657083 ,278203 ,2.36,330823 ,326260 ,1.01
서울특별시,2018,9765623 ,4263868 ,2.29,4773899 ,4991724 ,0.96
부산광역시,2018,3441453 ,1480468 ,2.32,1692421 ,1749032 ,0.97
대구광역시,2018,2461769 ,1021266 ,2.41,1219342 ,1242427 ,0.98
